Method,ID,Question,Ground_Truth,Top1_Result,Correct_Retrieval,Faithfulness,Citation_Acc,Latency_ms
FAISS Only (Retrieval),11,Một cá nhân đã có chứng chỉ nghiệp vụ đấu thầu nhưng đã hết hạn thì có được tiếp tục tham gia hoạt động đấu thầu không?,"Thông tư 02/2024/TT-BKHĐT – Điều 3, Điều 10",02_2024_TT-BKHDT_591580,True,N/A,N/A,250.75
FAISS Only (Retrieval),12,Điều kiện để được dự thi và được cấp chứng chỉ nghiệp vụ đấu thầu có giống nhau không?,"Thông tư 02/2024/TT-BKHĐT – Điều 8, Điều 7",09_2024_TT-BKHDT_610974,True,N/A,N/A,320.79
FAISS Only (Retrieval),13,Trường hợp nào cá nhân không được cấp chứng chỉ nghiệp vụ đấu thầu dù đã tham gia khóa đào tạo?,"Thông tư 02/2024/TT-BKHĐT – Điều 7, Điều 8",22_2023_QH15_518805,True,N/A,N/A,313.58
FAISS Only (Retrieval),14,Cá nhân có hành vi gian lận trong thi cử có được cấp lại chứng chỉ nghiệp vụ đấu thầu không?,Thông tư 02/2024/TT-BKHĐT – Điều 12,02_2024_TT-BKHDT_591580,True,N/A,N/A,245.4
FAISS Only (Retrieval),15,Sau bao lâu kể từ ngày được cấp thì chứng chỉ nghiệp vụ đấu thầu hết giá trị sử dụng?,Thông tư 02/2024/TT-BKHĐT – Điều 10,02_2024_TT-BKHDT_591580,True,N/A,N/A,270.58
FAISS Only (Retrieval),16,Việc đào tạo kiến thức đấu thầu có thể thực hiện qua hình thức học từ xa hay không?,Thông tư 02/2024/TT-BKHĐT – Điều 4,02_2024_TT-BKHDT_591580,True,N/A,N/A,391.46
FAISS Only (Retrieval),17,Một cá nhân muốn tham gia trực tiếp hoạt động đấu thầu thì cần đáp ứng những yêu cầu pháp lý nào?,"Thông tư 02/2024/TT-BKHĐT – Điều 3, Điều 7, Điều 8, Điều 10",214_2025_ND-CP_668157,True,N/A,N/A,883.18
FAISS Only (Retrieval),18,Quy trình từ đào tạo đến khi được cấp chứng chỉ nghiệp vụ đấu thầu gồm những bước chính nào?,"Thông tư 02/2024/TT-BKHĐT – Điều 4, Điều 7, Điều 8",09_2024_TT-BKHDT_610974,True,N/A,N/A,412.08
FAISS Only (Retrieval),19,Cơ quan nào vừa có thẩm quyền tổ chức thi vừa có thẩm quyền cấp chứng chỉ nghiệp vụ đấu thầu?,"Thông tư 02/2024/TT-BKHĐT – Điều 6, Điều 7",02_2024_TT-BKHDT_591580,True,N/A,N/A,317.81
FAISS Only (Retrieval),20,"Trong trường hợp mất chứng chỉ nghiệp vụ đấu thầu, cá nhân cần đáp ứng điều kiện gì để được cấp lại?",Thông tư 02/2024/TT-BKHĐT – Điều 11,09_2024_TT-BKHDT_610974,True,N/A,N/A,373.49
FAISS Only (Retrieval),21,Một cá nhân đã có chứng chỉ nghiệp vụ đấu thầu nhưng đã hết hạn thì có được tiếp tục tham gia hoạt động đấu thầu không?,"Thông tư 02/2024/TT-BKHĐT – Điều 3, Điều 10",02_2024_TT-BKHDT_591580,True,N/A,N/A,324.53
FAISS Only (Retrieval),22,Điều kiện để được dự thi và được cấp chứng chỉ nghiệp vụ đấu thầu có giống nhau không?,"Thông tư 02/2024/TT-BKHĐT – Điều 8, Điều 7",09_2024_TT-BKHDT_610974,True,N/A,N/A,284.79
FAISS Only (Retrieval),23,Trường hợp nào cá nhân không được cấp chứng chỉ nghiệp vụ đấu thầu dù đã tham gia khóa đào tạo?,"Thông tư 02/2024/TT-BKHĐT – Điều 7, Điều 8",22_2023_QH15_518805,True,N/A,N/A,325.84
FAISS Only (Retrieval),24,Cá nhân có hành vi gian lận trong thi cử có được cấp lại chứng chỉ nghiệp vụ đấu thầu không?,Thông tư 02/2024/TT-BKHĐT – Điều 12,02_2024_TT-BKHDT_591580,True,N/A,N/A,316.38
FAISS Only (Retrieval),25,Sau bao lâu kể từ ngày được cấp thì chứng chỉ nghiệp vụ đấu thầu hết giá trị sử dụng?,Thông tư 02/2024/TT-BKHĐT – Điều 10,02_2024_TT-BKHDT_591580,True,N/A,N/A,260.91
FAISS Only (Retrieval),26,Việc đào tạo kiến thức đấu thầu có thể thực hiện qua hình thức học từ xa hay không?,Thông tư 02/2024/TT-BKHĐT – Điều 4,02_2024_TT-BKHDT_591580,True,N/A,N/A,314.04
FAISS Only (Retrieval),27,Một cá nhân muốn tham gia trực tiếp hoạt động đấu thầu thì cần đáp ứng những yêu cầu pháp lý nào?,"Thông tư 02/2024/TT-BKHĐT – Điều 3, Điều 7, Điều 8, Điều 10",214_2025_ND-CP_668157,True,N/A,N/A,305.73
FAISS Only (Retrieval),28,Quy trình từ đào tạo đến khi được cấp chứng chỉ nghiệp vụ đấu thầu gồm những bước chính nào?,"Thông tư 02/2024/TT-BKHĐT – Điều 4, Điều 7, Điều 8",09_2024_TT-BKHDT_610974,True,N/A,N/A,309.57
FAISS Only (Retrieval),29,Cơ quan nào vừa có thẩm quyền tổ chức thi vừa có thẩm quyền cấp chứng chỉ nghiệp vụ đấu thầu?,"Thông tư 02/2024/TT-BKHĐT – Điều 6, Điều 7",02_2024_TT-BKHDT_591580,True,N/A,N/A,265.45
FAISS Only (Retrieval),30,"Trong trường hợp mất chứng chỉ nghiệp vụ đấu thầu, cá nhân cần đáp ứng điều kiện gì để được cấp lại?",Thông tư 02/2024/TT-BKHĐT – Điều 11,09_2024_TT-BKHDT_610974,True,N/A,N/A,296.83
FAISS Only (Retrieval),31,Một cá nhân đã có chứng chỉ nghiệp vụ đấu thầu nhưng đã hết hạn thì có được tiếp tục tham gia hoạt động đấu thầu không?,"Thông tư 02/2024/TT-BKHĐT – Điều 3, Điều 10",02_2024_TT-BKHDT_591580,True,N/A,N/A,293.88
FAISS Only (Retrieval),32,Điều kiện để được dự thi và được cấp chứng chỉ nghiệp vụ đấu thầu có giống nhau không?,"Thông tư 02/2024/TT-BKHĐT – Điều 8, Điều 7",09_2024_TT-BKHDT_610974,True,N/A,N/A,282.68
FAISS Only (Retrieval),33,Trường hợp nào cá nhân không được cấp chứng chỉ nghiệp vụ đấu thầu dù đã tham gia khóa đào tạo?,"Thông tư 02/2024/TT-BKHĐT – Điều 7, Điều 8",22_2023_QH15_518805,True,N/A,N/A,294.94
FAISS Only (Retrieval),34,Cá nhân có hành vi gian lận trong thi cử có được cấp lại chứng chỉ nghiệp vụ đấu thầu không?,Thông tư 02/2024/TT-BKHĐT – Điều 12,02_2024_TT-BKHDT_591580,True,N/A,N/A,268.83
FAISS Only (Retrieval),35,Sau bao lâu kể từ ngày được cấp thì chứng chỉ nghiệp vụ đấu thầu hết giá trị sử dụng?,Thông tư 02/2024/TT-BKHĐT – Điều 10,02_2024_TT-BKHDT_591580,True,N/A,N/A,263.63
FAISS Only (Retrieval),36,Việc đào tạo kiến thức đấu thầu có thể thực hiện qua hình thức học từ xa hay không?,Thông tư 02/2024/TT-BKHĐT – Điều 4,02_2024_TT-BKHDT_591580,True,N/A,N/A,268.46
FAISS Only (Retrieval),37,Một cá nhân muốn tham gia trực tiếp hoạt động đấu thầu thì cần đáp ứng những yêu cầu pháp lý nào?,"Thông tư 02/2024/TT-BKHĐT – Điều 3, Điều 7, Điều 8, Điều 10",214_2025_ND-CP_668157,True,N/A,N/A,272.17
FAISS Only (Retrieval),38,Quy trình từ đào tạo đến khi được cấp chứng chỉ nghiệp vụ đấu thầu gồm những bước chính nào?,"Thông tư 02/2024/TT-BKHĐT – Điều 4, Điều 7, Điều 8",09_2024_TT-BKHDT_610974,True,N/A,N/A,268.76
FAISS Only (Retrieval),39,Cơ quan nào vừa có thẩm quyền tổ chức thi vừa có thẩm quyền cấp chứng chỉ nghiệp vụ đấu thầu?,"Thông tư 02/2024/TT-BKHĐT – Điều 6, Điều 7",02_2024_TT-BKHDT_591580,True,N/A,N/A,320.49
FAISS Only (Retrieval),40,"Trong trường hợp mất chứng chỉ nghiệp vụ đấu thầu, cá nhân cần đáp ứng điều kiện gì để được cấp lại?",Thông tư 02/2024/TT-BKHĐT – Điều 11,09_2024_TT-BKHDT_610974,True,N/A,N/A,296.61
FAISS Only (Retrieval),41,Một cá nhân đã có chứng chỉ nghiệp vụ đấu thầu nhưng đã hết hạn thì có được tiếp tục tham gia hoạt động đấu thầu không?,"Thông tư 02/2024/TT-BKHĐT – Điều 3, Điều 10",02_2024_TT-BKHDT_591580,True,N/A,N/A,291.03
FAISS Only (Retrieval),42,Điều kiện để được dự thi và được cấp chứng chỉ nghiệp vụ đấu thầu có giống nhau không?,"Thông tư 02/2024/TT-BKHĐT – Điều 8, Điều 7",09_2024_TT-BKHDT_610974,True,N/A,N/A,265.92
FAISS Only (Retrieval),43,Trường hợp nào cá nhân không được cấp chứng chỉ nghiệp vụ đấu thầu dù đã tham gia khóa đào tạo?,"Thông tư 02/2024/TT-BKHĐT – Điều 7, Điều 8",22_2023_QH15_518805,True,N/A,N/A,603.37
FAISS Only (Retrieval),44,Cá nhân có hành vi gian lận trong thi cử có được cấp lại chứng chỉ nghiệp vụ đấu thầu không?,Thông tư 02/2024/TT-BKHĐT – Điều 12,02_2024_TT-BKHDT_591580,True,N/A,N/A,498.27
FAISS Only (Retrieval),45,Sau bao lâu kể từ ngày được cấp thì chứng chỉ nghiệp vụ đấu thầu hết giá trị sử dụng?,Thông tư 02/2024/TT-BKHĐT – Điều 10,02_2024_TT-BKHDT_591580,True,N/A,N/A,379.39
FAISS Only (Retrieval),46,Việc đào tạo kiến thức đấu thầu có thể thực hiện qua hình thức học từ xa hay không?,Thông tư 02/2024/TT-BKHĐT – Điều 4,02_2024_TT-BKHDT_591580,True,N/A,N/A,314.71
FAISS Only (Retrieval),47,Một cá nhân muốn tham gia trực tiếp hoạt động đấu thầu thì cần đáp ứng những yêu cầu pháp lý nào?,"Thông tư 02/2024/TT-BKHĐT – Điều 3, Điều 7, Điều 8, Điều 10",214_2025_ND-CP_668157,True,N/A,N/A,279.65
FAISS Only (Retrieval),48,Quy trình từ đào tạo đến khi được cấp chứng chỉ nghiệp vụ đấu thầu gồm những bước chính nào?,"Thông tư 02/2024/TT-BKHĐT – Điều 4, Điều 7, Điều 8",09_2024_TT-BKHDT_610974,True,N/A,N/A,275.23
FAISS Only (Retrieval),49,Cơ quan nào vừa có thẩm quyền tổ chức thi vừa có thẩm quyền cấp chứng chỉ nghiệp vụ đấu thầu?,"Thông tư 02/2024/TT-BKHĐT – Điều 6, Điều 7",02_2024_TT-BKHDT_591580,True,N/A,N/A,374.01
FAISS Only (Retrieval),50,"Trong trường hợp mất chứng chỉ nghiệp vụ đấu thầu, cá nhân cần đáp ứng điều kiện gì để được cấp lại?",Thông tư 02/2024/TT-BKHĐT – Điều 11,09_2024_TT-BKHDT_610974,True,N/A,N/A,417.11
FAISS Only (Retrieval),51,Một cá nhân đã có chứng chỉ nghiệp vụ đấu thầu nhưng đã hết hạn thì có được tiếp tục tham gia hoạt động đấu thầu không?,"Thông tư 02/2024/TT-BKHĐT – Điều 3, Điều 10",02_2024_TT-BKHDT_591580,True,N/A,N/A,288.58
FAISS Only (Retrieval),52,Điều kiện để được dự thi và được cấp chứng chỉ nghiệp vụ đấu thầu có giống nhau không?,"Thông tư 02/2024/TT-BKHĐT – Điều 8, Điều 7",09_2024_TT-BKHDT_610974,True,N/A,N/A,269.48
FAISS Only (Retrieval),53,Trường hợp nào cá nhân không được cấp chứng chỉ nghiệp vụ đấu thầu dù đã tham gia khóa đào tạo?,"Thông tư 02/2024/TT-BKHĐT – Điều 7, Điều 8",22_2023_QH15_518805,True,N/A,N/A,252.46
FAISS Only (Retrieval),54,Cá nhân có hành vi gian lận trong thi cử có được cấp lại chứng chỉ nghiệp vụ đấu thầu không?,Thông tư 02/2024/TT-BKHĐT – Điều 12,02_2024_TT-BKHDT_591580,True,N/A,N/A,275.89
FAISS Only (Retrieval),55,Sau bao lâu kể từ ngày được cấp thì chứng chỉ nghiệp vụ đấu thầu hết giá trị sử dụng?,Thông tư 02/2024/TT-BKHĐT – Điều 10,02_2024_TT-BKHDT_591580,True,N/A,N/A,267.78
FAISS Only (Retrieval),56,Việc đào tạo kiến thức đấu thầu có thể thực hiện qua hình thức học từ xa hay không?,Thông tư 02/2024/TT-BKHĐT – Điều 4,02_2024_TT-BKHDT_591580,True,N/A,N/A,277.46
FAISS Only (Retrieval),57,Một cá nhân muốn tham gia trực tiếp hoạt động đấu thầu thì cần đáp ứng những yêu cầu pháp lý nào?,"Thông tư 02/2024/TT-BKHĐT – Điều 3, Điều 7, Điều 8, Điều 10",214_2025_ND-CP_668157,True,N/A,N/A,268.63
FAISS Only (Retrieval),58,Quy trình từ đào tạo đến khi được cấp chứng chỉ nghiệp vụ đấu thầu gồm những bước chính nào?,"Thông tư 02/2024/TT-BKHĐT – Điều 4, Điều 7, Điều 8",09_2024_TT-BKHDT_610974,True,N/A,N/A,279.28
FAISS Only (Retrieval),59,Cơ quan nào vừa có thẩm quyền tổ chức thi vừa có thẩm quyền cấp chứng chỉ nghiệp vụ đấu thầu?,"Thông tư 02/2024/TT-BKHĐT – Điều 6, Điều 7",02_2024_TT-BKHDT_591580,True,N/A,N/A,299.67
FAISS Only (Retrieval),60,"Trong trường hợp mất chứng chỉ nghiệp vụ đấu thầu, cá nhân cần đáp ứng điều kiện gì để được cấp lại?",Thông tư 02/2024/TT-BKHĐT – Điều 11,09_2024_TT-BKHDT_610974,True,N/A,N/A,277.59
FAISS Only (Retrieval),61,Một cá nhân đã có chứng chỉ nghiệp vụ đấu thầu nhưng đã hết hạn thì có được tiếp tục tham gia hoạt động đấu thầu không?,"Thông tư 02/2024/TT-BKHĐT – Điều 3, Điều 10",02_2024_TT-BKHDT_591580,True,N/A,N/A,279.21
FAISS Only (Retrieval),62,Điều kiện để được dự thi và được cấp chứng chỉ nghiệp vụ đấu thầu có giống nhau không?,"Thông tư 02/2024/TT-BKHĐT – Điều 8, Điều 7",09_2024_TT-BKHDT_610974,True,N/A,N/A,309.87
FAISS Only (Retrieval),63,Trường hợp nào cá nhân không được cấp chứng chỉ nghiệp vụ đấu thầu dù đã tham gia khóa đào tạo?,"Thông tư 02/2024/TT-BKHĐT – Điều 7, Điều 8",22_2023_QH15_518805,True,N/A,N/A,298.61
FAISS Only (Retrieval),64,Cá nhân có hành vi gian lận trong thi cử có được cấp lại chứng chỉ nghiệp vụ đấu thầu không?,Thông tư 02/2024/TT-BKHĐT – Điều 12,02_2024_TT-BKHDT_591580,True,N/A,N/A,343.27
FAISS Only (Retrieval),65,Sau bao lâu kể từ ngày được cấp thì chứng chỉ nghiệp vụ đấu thầu hết giá trị sử dụng?,Thông tư 02/2024/TT-BKHĐT – Điều 10,02_2024_TT-BKHDT_591580,True,N/A,N/A,302.68
FAISS Only (Retrieval),66,Việc đào tạo kiến thức đấu thầu có thể thực hiện qua hình thức học từ xa hay không?,Thông tư 02/2024/TT-BKHĐT – Điều 4,02_2024_TT-BKHDT_591580,True,N/A,N/A,318.88
FAISS Only (Retrieval),67,Một cá nhân muốn tham gia trực tiếp hoạt động đấu thầu thì cần đáp ứng những yêu cầu pháp lý nào?,"Thông tư 02/2024/TT-BKHĐT – Điều 3, Điều 7, Điều 8, Điều 10",214_2025_ND-CP_668157,True,N/A,N/A,358.51
FAISS Only (Retrieval),68,Quy trình từ đào tạo đến khi được cấp chứng chỉ nghiệp vụ đấu thầu gồm những bước chính nào?,"Thông tư 02/2024/TT-BKHĐT – Điều 4, Điều 7, Điều 8",09_2024_TT-BKHDT_610974,True,N/A,N/A,319.9
FAISS Only (Retrieval),69,Cơ quan nào vừa có thẩm quyền tổ chức thi vừa có thẩm quyền cấp chứng chỉ nghiệp vụ đấu thầu?,"Thông tư 02/2024/TT-BKHĐT – Điều 6, Điều 7",02_2024_TT-BKHDT_591580,True,N/A,N/A,343.89
FAISS Only (Retrieval),70,"Trong trường hợp mất chứng chỉ nghiệp vụ đấu thầu, cá nhân cần đáp ứng điều kiện gì để được cấp lại?",Thông tư 02/2024/TT-BKHĐT – Điều 11,09_2024_TT-BKHDT_610974,True,N/A,N/A,276.44
FAISS Only (Retrieval),71,Một cá nhân đã có chứng chỉ nghiệp vụ đấu thầu nhưng đã hết hạn thì có được tiếp tục tham gia hoạt động đấu thầu không?,"Thông tư 02/2024/TT-BKHĐT – Điều 3, Điều 10",02_2024_TT-BKHDT_591580,True,N/A,N/A,336.18
FAISS Only (Retrieval),72,Điều kiện để được dự thi và được cấp chứng chỉ nghiệp vụ đấu thầu có giống nhau không?,"Thông tư 02/2024/TT-BKHĐT – Điều 8, Điều 7",09_2024_TT-BKHDT_610974,True,N/A,N/A,266.75
FAISS Only (Retrieval),73,Trường hợp nào cá nhân không được cấp chứng chỉ nghiệp vụ đấu thầu dù đã tham gia khóa đào tạo?,"Thông tư 02/2024/TT-BKHĐT – Điều 7, Điều 8",22_2023_QH15_518805,True,N/A,N/A,302.64
FAISS Only (Retrieval),74,Cá nhân có hành vi gian lận trong thi cử có được cấp lại chứng chỉ nghiệp vụ đấu thầu không?,Thông tư 02/2024/TT-BKHĐT – Điều 12,02_2024_TT-BKHDT_591580,True,N/A,N/A,339.96
FAISS Only (Retrieval),75,Sau bao lâu kể từ ngày được cấp thì chứng chỉ nghiệp vụ đấu thầu hết giá trị sử dụng?,Thông tư 02/2024/TT-BKHĐT – Điều 10,02_2024_TT-BKHDT_591580,True,N/A,N/A,322.76
FAISS Only (Retrieval),76,Việc đào tạo kiến thức đấu thầu có thể thực hiện qua hình thức học từ xa hay không?,Thông tư 02/2024/TT-BKHĐT – Điều 4,02_2024_TT-BKHDT_591580,True,N/A,N/A,357.27
FAISS Only (Retrieval),77,Một cá nhân muốn tham gia trực tiếp hoạt động đấu thầu thì cần đáp ứng những yêu cầu pháp lý nào?,"Thông tư 02/2024/TT-BKHĐT – Điều 3, Điều 7, Điều 8, Điều 10",214_2025_ND-CP_668157,True,N/A,N/A,382.51
FAISS Only (Retrieval),78,Quy trình từ đào tạo đến khi được cấp chứng chỉ nghiệp vụ đấu thầu gồm những bước chính nào?,"Thông tư 02/2024/TT-BKHĐT – Điều 4, Điều 7, Điều 8",09_2024_TT-BKHDT_610974,True,N/A,N/A,353.43
FAISS Only (Retrieval),79,Cơ quan nào vừa có thẩm quyền tổ chức thi vừa có thẩm quyền cấp chứng chỉ nghiệp vụ đấu thầu?,"Thông tư 02/2024/TT-BKHĐT – Điều 6, Điều 7",02_2024_TT-BKHDT_591580,True,N/A,N/A,446.55
FAISS Only (Retrieval),80,"Trong trường hợp mất chứng chỉ nghiệp vụ đấu thầu, cá nhân cần đáp ứng điều kiện gì để được cấp lại?",Thông tư 02/2024/TT-BKHĐT – Điều 11,09_2024_TT-BKHDT_610974,True,N/A,N/A,362.26
FAISS Only (Retrieval),81,Một cá nhân đã có chứng chỉ nghiệp vụ đấu thầu nhưng đã hết hạn thì có được tiếp tục tham gia hoạt động đấu thầu không?,"Thông tư 02/2024/TT-BKHĐT – Điều 3, Điều 10",02_2024_TT-BKHDT_591580,True,N/A,N/A,340.53
FAISS Only (Retrieval),82,Điều kiện để được dự thi và được cấp chứng chỉ nghiệp vụ đấu thầu có giống nhau không?,"Thông tư 02/2024/TT-BKHĐT – Điều 8, Điều 7",09_2024_TT-BKHDT_610974,True,N/A,N/A,517.35
FAISS Only (Retrieval),83,Trường hợp nào cá nhân không được cấp chứng chỉ nghiệp vụ đấu thầu dù đã tham gia khóa đào tạo?,"Thông tư 02/2024/TT-BKHĐT – Điều 7, Điều 8",22_2023_QH15_518805,True,N/A,N/A,467.75
FAISS Only (Retrieval),84,Cá nhân có hành vi gian lận trong thi cử có được cấp lại chứng chỉ nghiệp vụ đấu thầu không?,Thông tư 02/2024/TT-BKHĐT – Điều 12,02_2024_TT-BKHDT_591580,True,N/A,N/A,364.12
FAISS Only (Retrieval),85,Sau bao lâu kể từ ngày được cấp thì chứng chỉ nghiệp vụ đấu thầu hết giá trị sử dụng?,Thông tư 02/2024/TT-BKHĐT – Điều 10,02_2024_TT-BKHDT_591580,True,N/A,N/A,329.95
FAISS Only (Retrieval),86,Việc đào tạo kiến thức đấu thầu có thể thực hiện qua hình thức học từ xa hay không?,Thông tư 02/2024/TT-BKHĐT – Điều 4,02_2024_TT-BKHDT_591580,True,N/A,N/A,347.42
FAISS Only (Retrieval),87,Một cá nhân muốn tham gia trực tiếp hoạt động đấu thầu thì cần đáp ứng những yêu cầu pháp lý nào?,"Thông tư 02/2024/TT-BKHĐT – Điều 3, Điều 7, Điều 8, Điều 10",214_2025_ND-CP_668157,True,N/A,N/A,329.53
FAISS Only (Retrieval),88,Quy trình từ đào tạo đến khi được cấp chứng chỉ nghiệp vụ đấu thầu gồm những bước chính nào?,"Thông tư 02/2024/TT-BKHĐT – Điều 4, Điều 7, Điều 8",09_2024_TT-BKHDT_610974,True,N/A,N/A,336.42
FAISS Only (Retrieval),89,Cơ quan nào vừa có thẩm quyền tổ chức thi vừa có thẩm quyền cấp chứng chỉ nghiệp vụ đấu thầu?,"Thông tư 02/2024/TT-BKHĐT – Điều 6, Điều 7",02_2024_TT-BKHDT_591580,True,N/A,N/A,332.85
FAISS Only (Retrieval),90,"Trong trường hợp mất chứng chỉ nghiệp vụ đấu thầu, cá nhân cần đáp ứng điều kiện gì để được cấp lại?",Thông tư 02/2024/TT-BKHĐT – Điều 11,09_2024_TT-BKHDT_610974,True,N/A,N/A,316.28
FAISS Only (Retrieval),91,Một cá nhân đã có chứng chỉ nghiệp vụ đấu thầu nhưng đã hết hạn thì có được tiếp tục tham gia hoạt động đấu thầu không?,"Thông tư 02/2024/TT-BKHĐT – Điều 3, Điều 10",02_2024_TT-BKHDT_591580,True,N/A,N/A,341.37
FAISS Only (Retrieval),92,Điều kiện để được dự thi và được cấp chứng chỉ nghiệp vụ đấu thầu có giống nhau không?,"Thông tư 02/2024/TT-BKHĐT – Điều 8, Điều 7",09_2024_TT-BKHDT_610974,True,N/A,N/A,539.89
FAISS Only (Retrieval),93,Trường hợp nào cá nhân không được cấp chứng chỉ nghiệp vụ đấu thầu dù đã tham gia khóa đào tạo?,"Thông tư 02/2024/TT-BKHĐT – Điều 7, Điều 8",22_2023_QH15_518805,True,N/A,N/A,546.95
FAISS Only (Retrieval),94,Cá nhân có hành vi gian lận trong thi cử có được cấp lại chứng chỉ nghiệp vụ đấu thầu không?,Thông tư 02/2024/TT-BKHĐT – Điều 12,02_2024_TT-BKHDT_591580,True,N/A,N/A,611.05
FAISS Only (Retrieval),95,Sau bao lâu kể từ ngày được cấp thì chứng chỉ nghiệp vụ đấu thầu hết giá trị sử dụng?,Thông tư 02/2024/TT-BKHĐT – Điều 10,02_2024_TT-BKHDT_591580,True,N/A,N/A,507.71
FAISS Only (Retrieval),96,Việc đào tạo kiến thức đấu thầu có thể thực hiện qua hình thức học từ xa hay không?,Thông tư 02/2024/TT-BKHĐT – Điều 4,02_2024_TT-BKHDT_591580,True,N/A,N/A,377.06
FAISS Only (Retrieval),97,Một cá nhân muốn tham gia trực tiếp hoạt động đấu thầu thì cần đáp ứng những yêu cầu pháp lý nào?,"Thông tư 02/2024/TT-BKHĐT – Điều 3, Điều 7, Điều 8, Điều 10",214_2025_ND-CP_668157,True,N/A,N/A,350.85
FAISS Only (Retrieval),98,Quy trình từ đào tạo đến khi được cấp chứng chỉ nghiệp vụ đấu thầu gồm những bước chính nào?,"Thông tư 02/2024/TT-BKHĐT – Điều 4, Điều 7, Điều 8",09_2024_TT-BKHDT_610974,True,N/A,N/A,337.51
FAISS Only (Retrieval),99,Cơ quan nào vừa có thẩm quyền tổ chức thi vừa có thẩm quyền cấp chứng chỉ nghiệp vụ đấu thầu?,"Thông tư 02/2024/TT-BKHĐT – Điều 6, Điều 7",02_2024_TT-BKHDT_591580,True,N/A,N/A,355.32
FAISS Only (Retrieval),100,"Trong trường hợp mất chứng chỉ nghiệp vụ đấu thầu, cá nhân cần đáp ứng điều kiện gì để được cấp lại?",Thông tư 02/2024/TT-BKHĐT – Điều 11,09_2024_TT-BKHDT_610974,True,N/A,N/A,376.78
FAISS Only (Retrieval),101,Thông tư 02/2024/TT-BKHĐT quy định về vấn đề gì?,Thông tư 02/2024/TT-BKHĐT,02_2024_TT-BKHDT_591580,True,N/A,N/A,318.71
FAISS Only (Retrieval),102,Chứng chỉ nghiệp vụ chuyên môn về đấu thầu có thời hạn sử dụng bao lâu?,Điều 3 - Thông tư 02/2024/TT-BKHĐT,02_2024_TT-BKHDT_591580,True,N/A,N/A,340.51
FAISS Only (Retrieval),103,Cơ quan nào có thẩm quyền cấp chứng chỉ nghiệp vụ chuyên môn về đấu thầu?,Điều 4 - Thông tư 02/2024/TT-BKHĐT,02_2024_TT-BKHDT_591580,True,N/A,N/A,399.34
FAISS Only (Retrieval),104,Điều kiện để cá nhân được dự thi cấp chứng chỉ đấu thầu là gì?,Điều 8 - Thông tư 02/2024/TT-BKHĐT,02_2024_TT-BKHDT_591580,True,N/A,N/A,453.84
